grupo,fundo,nome_curto,cnpj,competencia,indicador,valor,unidade,observacao,cache_folder
Cloudwalk,CLOUDWALK AKIRA I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,CLOUDWALK AKIRA I,42.085.830/0001-09,02/2026,PL (R$),474515187.67,R$ bruto,Visão Executiva canônica; cache IME local d8ba5a45334d7fdb7c7d5fca75bf9fcad7183a8a35d8f5b8056fb62e948afc7e,.cache/fundonet-ime/d8ba5a45334d7fdb7c7d5fca75bf9fcad7183a8a35d8f5b8056fb62e948afc7e
Cloudwalk,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,CLOUDWALK KICK ASS I,42.085.816/0001-05,09/2025,Rentabilidade Sub % a.m.,0.86,%,Visão Executiva canônica; cache IME local a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
Cloudwalk,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,CLOUDWALK KICK ASS I,42.085.816/0001-05,08/2025,Rentabilidade Sub % a.m.,0.62,%,Visão Executiva canônica; cache IME local a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
Cloudwalk,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,CLOUDWALK KICK ASS I,42.085.816/0001-05,07/2025,Rentabilidade Sub % a.m.,0.82,%,Visão Executiva canônica; cache IME local a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
Cloudwalk,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,CLOUDWALK KICK ASS I,42.085.816/0001-05,06/2025,Rentabilidade Sub % a.m.,0.49,%,Visão Executiva canônica; cache IME local a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
Cloudwalk,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,CLOUDWALK KICK ASS I,42.085.816/0001-05,05/2025,Rentabilidade Sub % a.m.,0.35,%,Visão Executiva canônica; cache IME local a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
Cloudwalk,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,CLOUDWALK KICK ASS I,42.085.816/0001-05,04/2025,Rentabilidade Sub % a.m.,0.43,%,Visão Executiva canônica; cache IME local a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
Cloudwalk,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,CLOUDWALK KICK ASS I,42.085.816/0001-05,03/2025,Rentabilidade Sub % a.m.,0.33,%,Visão Executiva canônica; cache IME local a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
Cloudwalk,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,CLOUDWALK KICK ASS I,42.085.816/0001-05,02/2025,Rentabilidade Sub % a.m.,0.11,%,Visão Executiva canônica; cache IME local a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
Cloudwalk,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,CLOUDWALK KICK ASS I,42.085.816/0001-05,02/2026,Cotas MZ / PL %,0.0,%,Visão Executiva canônica; cache IME local a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
Cloudwalk,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,CLOUDWALK KICK ASS I,42.085.816/0001-05,01/2026,Cotas MZ / PL %,0.0,%,Visão Executiva canônica; cache IME local a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
Cloudwalk,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,CLOUDWALK KICK ASS I,42.085.816/0001-05,12/2025,Cotas MZ / PL %,0.0,%,Visão Executiva canônica; cache IME local a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
Cloudwalk,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,CLOUDWALK KICK ASS I,42.085.816/0001-05,11/2025,Cotas MZ / PL %,0.0,%,Visão Executiva canônica; cache IME local a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
Cloudwalk,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,CLOUDWALK KICK ASS I,42.085.816/0001-05,10/2025,Cotas MZ / PL %,0.0,%,Visão Executiva canônica; cache IME local a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
Cloudwalk,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,CLOUDWALK KICK ASS I,42.085.816/0001-05,09/2025,Cotas MZ / PL %,0.0,%,Visão Executiva canônica; cache IME local a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
Cloudwalk,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,CLOUDWALK KICK ASS I,42.085.816/0001-05,08/2025,Cotas MZ / PL %,0.0,%,Visão Executiva canônica; cache IME local a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
Cloudwalk,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,CLOUDWALK KICK ASS I,42.085.816/0001-05,07/2025,Cotas MZ / PL %,0.0,%,Visão Executiva canônica; cache IME local a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
Cloudwalk,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,CLOUDWALK KICK ASS I,42.085.816/0001-05,06/2025,Cotas MZ / PL %,0.0,%,Visão Executiva canônica; cache IME local a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
Cloudwalk,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,CLOUDWALK KICK ASS I,42.085.816/0001-05,05/2025,Cotas MZ / PL %,0.0,%,Visão Executiva canônica; cache IME local a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
Cloudwalk,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,CLOUDWALK KICK ASS I,42.085.816/0001-05,04/2025,Cotas MZ / PL %,0.0,%,Visão Executiva canônica; cache IME local a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
Cloudwalk,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,CLOUDWALK KICK ASS I,42.085.816/0001-05,03/2025,Cotas MZ / PL %,0.0,%,Visão Executiva canônica; cache IME local a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
Cloudwalk,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,CLOUDWALK KICK ASS I,42.085.816/0001-05,02/2025,Cotas MZ / PL %,0.0,%,Visão Executiva canônica; cache IME local a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
Cloudwalk,CLOUDWALK AKIRA I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,CLOUDWALK AKIRA I,42.085.830/0001-09,04/2026,PL (R$),391894772.93,R$ bruto,Visão Executiva canônica; cache IME local d8ba5a45334d7fdb7c7d5fca75bf9fcad7183a8a35d8f5b8056fb62e948afc7e,.cache/fundonet-ime/d8ba5a45334d7fdb7c7d5fca75bf9fcad7183a8a35d8f5b8056fb62e948afc7e
Cloudwalk,CLOUDWALK AKIRA I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,CLOUDWALK AKIRA I,42.085.830/0001-09,03/2026,PL (R$),433379960.54,R$ bruto,Visão Executiva canônica; cache IME local d8ba5a45334d7fdb7c7d5fca75bf9fcad7183a8a35d8f5b8056fb62e948afc7e,.cache/fundonet-ime/d8ba5a45334d7fdb7c7d5fca75bf9fcad7183a8a35d8f5b8056fb62e948afc7e
Cloudwalk,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,CLOUDWALK KICK ASS I,42.085.816/0001-05,10/2025,Recompras / PL,0.0,ratio,Visão Executiva canônica; cache IME local a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
Cloudwalk,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,CLOUDWALK KICK ASS I,42.085.816/0001-05,11/2025,Recompras / PL,0.0,ratio,Visão Executiva canônica; cache IME local a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
Cloudwalk,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,CLOUDWALK KICK ASS I,42.085.816/0001-05,12/2025,Recompras / PL,0.0,ratio,Visão Executiva canônica; cache IME local a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
Cloudwalk,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,CLOUDWALK KICK ASS I,42.085.816/0001-05,01/2026,Recompras / PL,0.0,ratio,Visão Executiva canônica; cache IME local a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
Cloudwalk,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,CLOUDWALK KICK ASS I,42.085.816/0001-05,10/2025,Vencidos Over 360 d (R$ MM),0.0,R$ MM,Visão Executiva canônica; cache IME local a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
Cloudwalk,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,CLOUDWALK KICK ASS I,42.085.816/0001-05,09/2025,Vencidos Over 360 d (R$ MM),0.0,R$ MM,Visão Executiva canônica; cache IME local a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
Cloudwalk,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,CLOUDWALK KICK ASS I,42.085.816/0001-05,08/2025,Vencidos Over 360 d (R$ MM),0.0,R$ MM,Visão Executiva canônica; cache IME local a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
Cloudwalk,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,CLOUDWALK KICK ASS I,42.085.816/0001-05,07/2025,Vencidos Over 360 d (R$ MM),0.0,R$ MM,Visão Executiva canônica; cache IME local a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
Cloudwalk,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,CLOUDWALK KICK ASS I,42.085.816/0001-05,06/2025,Vencidos Over 360 d (R$ MM),0.0,R$ MM,Visão Executiva canônica; cache IME local a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
Cloudwalk,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,CLOUDWALK KICK ASS I,42.085.816/0001-05,05/2025,Vencidos Over 360 d (R$ MM),0.0,R$ MM,Visão Executiva canônica; cache IME local a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
Cloudwalk,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,CLOUDWALK KICK ASS I,42.085.816/0001-05,04/2025,Vencidos Over 360 d (R$ MM),0.0,R$ MM,Visão Executiva canônica; cache IME local a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
Cloudwalk,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,CLOUDWALK KICK ASS I,42.085.816/0001-05,03/2025,Vencidos Over 360 d (R$ MM),0.0,R$ MM,Visão Executiva canônica; cache IME local a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
Cloudwalk,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,CLOUDWALK KICK ASS I,42.085.816/0001-05,02/2025,Vencidos Over 360 d (R$ MM),0.0,R$ MM,Visão Executiva canônica; cache IME local a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
Cloudwalk,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,CLOUDWALK KICK ASS I,42.085.816/0001-05,02/2026,Vencidos Over 360 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
Cloudwalk,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,CLOUDWALK KICK ASS I,42.085.816/0001-05,11/2025,Vencidos Over 360 d (R$ MM),0.0,R$ MM,Visão Executiva canônica; cache IME local a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
Cloudwalk,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,CLOUDWALK KICK ASS I,42.085.816/0001-05,01/2026,Vencidos Over 360 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
Cloudwalk,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,CLOUDWALK KICK ASS I,42.085.816/0001-05,11/2025,Vencidos Over 360 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
Cloudwalk,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,CLOUDWALK KICK ASS I,42.085.816/0001-05,10/2025,Vencidos Over 360 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
Cloudwalk,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,CLOUDWALK KICK ASS I,42.085.816/0001-05,09/2025,Vencidos Over 360 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
Cloudwalk,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,CLOUDWALK KICK ASS I,42.085.816/0001-05,08/2025,Vencidos Over 360 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
Cloudwalk,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,CLOUDWALK KICK ASS I,42.085.816/0001-05,07/2025,Vencidos Over 360 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
Cloudwalk,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,CLOUDWALK KICK ASS I,42.085.816/0001-05,06/2025,Vencidos Over 360 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
Cloudwalk,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,CLOUDWALK KICK ASS I,42.085.816/0001-05,05/2025,Vencidos Over 360 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
Cloudwalk,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,CLOUDWALK KICK ASS I,42.085.816/0001-05,04/2025,Vencidos Over 360 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
Cloudwalk,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,CLOUDWALK KICK ASS I,42.085.816/0001-05,03/2025,Vencidos Over 360 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
Cloudwalk,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,CLOUDWALK KICK ASS I,42.085.816/0001-05,02/2025,Vencidos Over 360 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
Cloudwalk,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,CLOUDWALK KICK ASS I,42.085.816/0001-05,12/2025,Vencidos Over 360 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
Cloudwalk,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,CLOUDWALK KICK ASS I,42.085.816/0001-05,12/2025,Vencidos Over 360 d (R$ MM),0.0,R$ MM,Visão Executiva canônica; cache IME local a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
Cloudwalk,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,CLOUDWALK KICK ASS I,42.085.816/0001-05,01/2026,Vencidos Over 360 d (R$ MM),0.0,R$ MM,Visão Executiva canônica; cache IME local a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
Cloudwalk,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,CLOUDWALK KICK ASS I,42.085.816/0001-05,02/2026,Vencidos Over 360 d (R$ MM),0.0,R$ MM,Visão Executiva canônica; cache IME local a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
Cloudwalk,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,CLOUDWALK KICK ASS I,42.085.816/0001-05,11/2025,Vencidos Over 180 d (R$ MM),0.0,R$ MM,Visão Executiva canônica; cache IME local a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
